Bridge,Daily Trips,Total Trips
FULLER WARREN (FL),0.0008764241893076249,2.0
GIL HODGES MEMORIAL ,0.0008764241893076249,2.0
HENRY H BUCKMAN (FL),0.0008764241893076249,2.0
JOHN T ALSOP JR. (FL),0.0008764241893076249,2.0
LESNER  (VA),0.0008764241893076249,2.0
MATHEWS  MUFFIN(FL),0.0008764241893076249,2.0
NAVAL ACADEMY  (MD),0.0008764241893076249,2.0
RICHARD I. BONG MEMORIAL  (MN-WI),0.0008764241893076249,2.0
RTE 280 NB OFFRAMP over CHINA BASIN BERRY 6 ST,0.0008764241893076249,2.0
RTE 280 NB ON-RAMP over CHINA BASIN BERRY 6 ST,0.0008764241893076249,2.0
COLUMBIA DRIVE (FL),0.00043821209465381246,1.0
CURTIS CREEK DRAWS (MD),0.00043821209465381246,1.0
DELGADO MEMORIAL (FL),0.00043821209465381246,1.0
GANDY (FL),0.00043821209465381246,1.0
GOV THOMAS JOHNSON  (MD),0.00043821209465381246,1.0
HART (FL),0.00043821209465381246,1.0
OLD YOUNGS BAY ,0.00043821209465381246,1.0
PEARL HARBOR MEMORIAL  (MD),0.00043821209465381246,1.0
SANDY HOOK ,0.00043821209465381246,1.0
SR 104 over HOOD CANAL (WA),0.00043821209465381246,1.0
SR 104 WESTHALF over HOOD CANAL (WA),0.00043821209465381246,1.0
THE BAY ,0.00043821209465381246,1.0
VENETIAN CAUSWAY ,0.00043821209465381246,1.0
WEST SEATTLE  (WA),0.00043821209465381246,1.0
WILLIAM A. BUGGE (WA),0.00043821209465381246,1.0
3RD STREET (CA),0.0,0.0
4TH STREET (CA),0.0,0.0
79th ST WEST DRAW(FL),0.0,0.0
A1A OVER STRANAHAN RIVER,0.0,0.0
ALEXANDER HAMILTON ,0.0,0.0
AURORA ,0.0,0.0
AUTOP. JOSE DE DIEGO OVER SAN JUAN HATO REY,0.0,0.0
BEAR CUT ,0.0,0.0
BERKLEY  (VA),0.0,0.0
BRICKELL KEY ,0.0,0.0
BROAD CAUSEWAY ,0.0,0.0
BROADWAY ,0.0,0.0
BURNSIDE ,0.0,0.0
CAMPOSTELLA  (VA),0.0,0.0
CARL D BROREIN (FL),0.0,0.0
CHRISTINA RIVER  (DE),0.0,0.0
DELAWARE EXPRESSWAY OVER DARBY CREEK (PA),0.0,0.0
DIAMOND CAUSEWAY,0.0,0.0
DOYLE E CARLTON DRAW(FL),0.0,0.0
DR MARTIN LUTHER KING JR MEMORIAL  (IN),0.0,0.0
DUMBARTON ,0.0,0.0
E 11TH ST OVER CITY WATERWAY CS2749,0.0,0.0
E 4TH STREET OVER CHRISTINA RIVER(DE),0.0,0.0
E 79TH DRAW(FL),0.0,0.0
E SUNRISE BOULEVARD,0.0,0.0
EAST 11TH STREET OVER HYLEBOS WATERWAY,0.0,0.0
EB I-90 OVER LAKE WASHINGTON,0.0,0.0
ELLIS S VIESER MEMORIAL ,0.0,0.0
EVERGREEN POINT FLOATING  (WA) ,0.0,0.0
FIRST AVENUE SOUTH  (WA),0.0,0.0
FOX ISLAND  (WA),0.0,0.0
FRANCIS R BUONO MEMORIAL ,0.0,0.0
GEORGE C PLATT MEMORIAL ,0.0,0.0
GERRITSEN INLET ,0.0,0.0
GILMERTON  (VA),0.0,0.0
GIRARD POINT ,0.0,0.0
GLENN L JACKSON MEMORIAL ,0.0,0.0
HANOVER STREET  (MD),0.0,0.0
HARLEM RIVER SWING ,0.0,0.0
HAULOVER INLET (FL),0.0,0.0
HAWTHORNE ,0.0,0.0
HENRY HUDSON ,0.0,0.0
HIGH STREET ,0.0,0.0
HOWARD FRANKLAND (FL),0.0,0.0
HWY 10,0.0,0.0
HWY A1A(SR-105) OVER CLAPBOARD CREEK(FL),0.0,0.0
I-5 (Hwy 1) over Oregon Slough,0.0,0.0
I-5 OVER LAKE WASH SHIP CANAL (WA),0.0,0.0
I-90 over EAST CHANNEL-LK WASH (WA),0.0,0.0
I-95 over SUSQUEHANNA RIVER PA RR (MD),0.0,0.0
IH 10 SLASH US 90 EB over NECHES RIVER,0.0,0.0
IH 10 WB over Neches River,0.0,0.0
ILLINOIS STREET ,0.0,0.0
INDUSTRIAL HIGHWAY OVER DARBY CREEK,0.0,0.0
IS 95 SB over MIDDLE BRANCH (MD),0.0,0.0
JOHN F KENNEDY CAUSEWAY(FL),0.0,0.0
JULIA BUTLER HANSEN ,0.0,0.0
JULIA TUTTLE CAUSEWAY(FL),0.0,0.0
KENNEDY BOULEVARD (FL),0.0,0.0
KENT NARROWS  (MD),0.0,0.0
LAZARETTE CREEK ,0.0,0.0
LEVON HAGOP NISHIKIAN ,0.0,0.0
LEWIS AND CLARK RIVER ,0.0,0.0
LICATA (FL),0.0,0.0
MACOMBS DAM ,0.0,0.0
MADISON AVENUE ,0.0,0.0
MANETEE  (WA),0.0,0.0
MARQUAM ,0.0,0.0
MD 2 over SOUTH RIVER (MD),0.0,0.0
MILLARD E TYDINGS MEMORIAL  (MD),0.0,0.0
MILLER SWEENEY ,0.0,0.0
MORRISON ,0.0,0.0
N OCEAN DR OVER WHISKEY CREEK,0.0,0.0
NEW YOUNGS BAY ,0.0,0.0
NUECES BAY CAUSEWAY,0.0,0.0
OLIVER  (MN-WI),0.0,0.0
OREGON WASHINGTON ,0.0,0.0
PARK STREET ,0.0,0.0
PASSYUNK AVENUE ,0.0,0.0
PELICAN ISLAND CAUSEWAY (TX),0.0,0.0
PLATT STREET (FL),0.0,0.0
PORT MIAMI ,0.0,0.0
PUENTE DE LA CONSTITUCION,0.0,0.0
QUEEN ISABELLA CAUSEWAY,0.0,0.0
QUEENS WAY S over QUEENSWAY DR,0.0,0.0
QUEENSBOUROUGH ,0.0,0.0
R. CLAYTON MITCHELL JR  (MD),0.0,0.0
RFK  BRONX CROSSING,0.0,0.0
RFK  HARLEM RIVER LIFT SPAIN,0.0,0.0
RICHARDSON BAY FREEWAY ,0.0,0.0
RIVA ROAD over SOUTH RIVER (MD),0.0,0.0
ROBERT F KENNEDY ,0.0,0.0
ROSS ISLAND ,0.0,0.0
ROUTE 163 MARINA DR,0.0,0.0
ROUTE 90 BATTLESHIP PKWY,0.0,0.0
S WALNUT ST OVER CHRISTINA RIVER(DE),0.0,0.0
SABINE LAKE CAUSEWAY ,0.0,0.0
SAN LEANDRO BAY BIKE ,0.0,0.0
SEARS POINT ,0.0,0.0
SELLWOOD ,0.0,0.0
SELMON EXPY(FL),0.0,0.0
"SENATOR JOHN E REILLY, SR (DE)",0.0,0.0
SH 146 NB over DICKINSON BAYOU (TX),0.0,0.0
SIDEROAD LT-212TH over POSEY CREEK (KS),0.0,0.0
SNELL ISLE BLVD NE(FL),0.0,0.0
SOUTH PLANT AVENUE (FL),0.0,0.0
SR 305 OVER AGATE PASS  (WA),0.0,0.0
SR 513 OVER MONTLAKE CUT,0.0,0.0
SR-105 OVER CLAPBOARD CREEK B(FL),0.0,0.0
SR-105 SB over DUNN CREEK(FL),0.0,0.0
SR-679 over BUNCES PASS(FL),0.0,0.0
STATE ROUTE 37 over NAPA RIVER AND WILSON AV,0.0,0.0
STEEL ,0.0,0.0
SUNRISE BOULEVARD ,0.0,0.0
SUNSHINE SKYWAY FISHING PIER(FL),0.0,0.0
THIRD AVENUE ,0.0,0.0
THROGS NECK ,0.0,0.0
THUNDERBOLT ,0.0,0.0
TILIKUM CROSSING ,0.0,0.0
TURKEY POINT ROAD over SELBY BAY (MD),0.0,0.0
UNIVERSITY  (WA),0.0,0.0
UNIVERSITY HEIGHTS ,0.0,0.0
US-17 (SR-15) over DOCTORS INLET(FL),0.0,0.0
US-17 SB (SR-15) over ORTEGA RIVER & RD.(FL),0.0,0.0
US-41 (SR-45) over PALM RIVER(FL),0.0,0.0
VICTORY ,0.0,0.0
VINCENT R CSCIANO MEMORIAL ,0.0,0.0
W SHORE EXPY OVER FRESH KILLS,0.0,0.0
WANAMAKER AVE OVER DARBY CREEK,0.0,0.0
WARREN AVENUE  (WA),0.0,0.0
WASHINGTON ,0.0,0.0
WB I-90 over LAKE WASHINGTON (WA),0.0,0.0
WEST CASS ST (FL),0.0,0.0
WEST VENICIAN CAUSEWAY ,0.0,0.0
WHITESTONE ,0.0,0.0
WICHELS(MARE ISLAND) CAUSEWAY,0.0,0.0
WILLIAM M POWELL ,0.0,0.0
WILLIS AVENUE ,0.0,0.0
